Id,Rol,Sexo,Edad,Fecha fallecimiento,Rango edad,Num víctimas,Fecha,Año,Mes,Día,Hora completa,Hora,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Xy (caba),Pos x,Pos y,Participantes,Victima,Acusado,Coordenada x,Coordenada y,Barrios,Día semana
2016-0001,CONDUCTOR,MASCULINO,19,2016-01-01,Menos de 20,1.0,2016-01-01,2016.0,1.0,1.0,04:00:00,4.0,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Comuna 8,Point (98896.78238426 93532.43437792),-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO,98896.78238426,93532.43437792,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Viernes
2016-0002,CONDUCTOR,MASCULINO,70,2016-01-02,Entre 61-80,1.0,2016-01-02,2016.0,1.0,2.0,01:15:00,1.0,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",Comuna 9,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS,95832.05571093,95505.41641999,LINIERS - MATADEROS - PARQUE AVELLANEDA,Sabado
2016-0003,CONDUCTOR,MASCULINO,30,2016-01-03, Entre 21- 40,1.0,2016-01-03,2016.0,1.0,3.0,07:00:00,7.0,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 2034,Comuna 1,Point (106684.29090040 99706.57687843),-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO,106684.2909004,99706.57687843,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Domingo
2016-0004,CONDUCTOR,MASCULINO,18,,Menos de 20,1.0,2016-01-10,2016.0,1.0,10.0,00:00:00,0.0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",Comuna 8,Point (99840.65224780 94269.16534422),-58.46503904,-34.68092974,MOTO-SD,MOTO,SD,99840.6522478,94269.16534422,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Domingo
2016-0005,CONDUCTOR,MASCULINO,29,2016-02-01, Entre 21- 40,1.0,2016-01-21,2016.0,1.0,21.0,05:20:00,5.0,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,SAN JUAN AV.,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",Comuna 1,Point (106980.32827929 100752.16915795),-58.38718297,-34.6224663,MOTO-PASAJEROS,MOTO,PASAJEROS,106980.32827929,100752.16915795,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Jueves
2016-0008,CONDUCTOR,MASCULINO,30,2016-01-24, Entre 21- 40,1.0,2016-01-24,2016.0,1.0,24.0,18:30:00,18.0,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,Comuna 8,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,101721.59002217,93844.25656649,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Domingo
2016-0009,PASAJERO_ACOMPAÑANTE,MASCULINO,29,2016-01-26, Entre 21- 40,1.0,2016-01-24,2016.0,1.0,24.0,19:10:00,19.0,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",Comuna 11,Point (96545.87592078 102330.67262199),-58.50095869,-34.6082544,MOTO-AUTO,MOTO,AUTO,96545.87592078,102330.67262199,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Domingo
2016-0010,CONDUCTOR,MASCULINO,18,2016-01-29,Menos de 20,1.0,2016-01-29,2016.0,1.0,29.0,15:20:00,15.0,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",Comuna 9,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,95832.05571093,95505.41641999,LINIERS - MATADEROS - PARQUE AVELLANEDA,Viernes
2016-0012,CONDUCTOR,MASCULINO,22,2016-02-08, Entre 21- 40,1.0,2016-02-08,2016.0,2.0,8.0,01:20:00,1.0,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",Comuna 1,Point (107595.35084333 101797.50052813),-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS,107595.35084333,101797.50052813,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Lunes
2016-0013,PEATON,MASCULINO,16,2016-02-10,Menos de 20,1.0,2016-02-10,2016.0,2.0,10.0,11:30:00,11.0,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 1366,Comuna 1,Point (106616.41069662 100496.44662323),-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO,106616.41069662,100496.44662323,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Miercoles
